w_Si(nm),h_Si(nm),Refractive Index(real part),Refractive Index(imaginary part) 
100,220,2.3166,-0.043678
100.1,220,2.3164,-0.043685
100.2,220,2.3155,-0.044514
100.3,220,2.3154,-0.044517
100.4,220,2.3152,-0.04459
100.5,220,2.315,-0.0446
100.6,220,2.3148,-0.044623
100.7,220,2.3147,-0.044583
100.8,220,2.3145,-0.044576
100.9,220,2.3143,-0.044564
101,220,2.3142,-0.04457
101.1,220,2.314,-0.044598
101.2,220,2.3139,-0.044545
101.3,220,2.3136,-0.044614
101.4,220,2.3135,-0.044617
101.5,220,2.3133,-0.044614
101.6,220,2.3132,-0.044615
101.7,220,2.313,-0.044579
101.8,220,2.3129,-0.044582
101.9,220,2.3127,-0.044582
102,220,2.3125,-0.044585
102.1,220,2.3123,-0.044584
102.2,220,2.3122,-0.044586
102.3,220,2.3121,-0.044595
102.4,220,2.312,-0.044416
102.5,220,2.3124,-0.0442
102.6,220,2.3122,-0.044198
102.7,220,2.312,-0.044203
102.8,220,2.3119,-0.044204
102.9,220,2.3117,-0.044221
103,220,2.3116,-0.044176
103.1,220,2.3114,-0.044179
103.2,220,2.3113,-0.04419
103.3,220,2.3111,-0.044201
103.4,220,2.3109,-0.0442
103.5,220,2.3108,-0.044202
103.6,220,2.3106,-0.044206
103.7,220,2.3104,-0.044228
103.8,220,2.3103,-0.044222
103.9,220,2.3101,-0.044227
104,220,2.3099,-0.044242
104.1,220,2.3098,-0.044247
104.2,220,2.3096,-0.04424
104.3,220,2.3095,-0.044243
104.4,220,2.3093,-0.044262
104.5,220,2.3091,-0.044264
104.6,220,2.309,-0.044268
104.7,220,2.3088,-0.044273
104.8,220,2.3087,-0.044277
104.9,220,2.3084,-0.044387
105,220,2.3083,-0.044391
105.1,220,2.3081,-0.044364
105.2,220,2.308,-0.044371
105.3,220,2.3078,-0.044374
105.4,220,2.3078,-0.044253
105.5,220,2.3076,-0.044275
105.6,220,2.3075,-0.044261
105.7,220,2.3073,-0.044249
105.8,220,2.3072,-0.044255
105.9,220,2.307,-0.044259
106,220,2.3069,-0.044255
106.1,220,2.3066,-0.044412
106.2,220,2.3065,-0.044414
106.3,220,2.3063,-0.044411
106.4,220,2.3062,-0.044417
106.5,220,2.306,-0.044427
106.6,220,2.3059,-0.044424
106.7,220,2.3057,-0.044431
106.8,220,2.3056,-0.044425
106.9,220,2.3054,-0.044426
107,220,2.3052,-0.044432
107.1,220,2.3051,-0.044428
107.2,220,2.3049,-0.044434
107.3,220,2.3048,-0.044437
107.4,220,2.3046,-0.044417
107.5,220,2.3045,-0.044438
107.6,220,2.3043,-0.04442
107.7,220,2.3042,-0.044437
107.8,220,2.304,-0.044448
107.9,220,2.3039,-0.044441
108,220,2.3038,-0.044429
108.1,220,2.3032,-0.044916
108.2,220,2.3031,-0.04491
108.3,220,2.3029,-0.044912
108.4,220,2.3028,-0.044921
108.5,220,2.3026,-0.044923
108.6,220,2.3025,-0.044931
108.7,220,2.3023,-0.044933
108.8,220,2.3022,-0.044935
108.9,220,2.302,-0.044931
109,220,2.3019,-0.044933
109.1,220,2.3018,-0.044892
109.2,220,2.3016,-0.04496
109.3,220,2.3014,-0.044967
109.4,220,2.3013,-0.044978
109.5,220,2.3011,-0.044997
109.6,220,2.301,-0.044984
109.7,220,2.3008,-0.045004
109.8,220,2.3007,-0.045007
109.9,220,2.3006,-0.044972
110,220,2.3004,-0.045021
110.1,220,2.3003,-0.04497
110.2,220,2.3001,-0.044967
110.3,220,2.3,-0.044968
110.4,220,2.2998,-0.044992
110.5,220,2.2997,-0.044994
110.6,220,2.2996,-0.044977
110.7,220,2.2994,-0.044968
110.8,220,2.2993,-0.04496
110.9,220,2.2991,-0.04496
111,220,2.299,-0.044976
111.1,220,2.2989,-0.044971
111.2,220,2.2986,-0.045022
111.3,220,2.2985,-0.045023
111.4,220,2.2984,-0.045025
111.5,220,2.2982,-0.04503
111.6,220,2.2981,-0.045034
111.7,220,2.298,-0.045019
111.8,220,2.2978,-0.045029
111.9,220,2.2977,-0.045026
112,220,2.2975,-0.045003
112.1,220,2.2974,-0.045001
112.2,220,2.2973,-0.045001
112.3,220,2.2971,-0.044995
112.4,220,2.297,-0.044947
112.5,220,2.2969,-0.044957
112.6,220,2.2967,-0.044985
112.7,220,2.2966,-0.044985
112.8,220,2.2964,-0.044974
112.9,220,2.2963,-0.04497
113,220,2.2962,-0.044974
113.1,220,2.296,-0.044972
113.2,220,2.2959,-0.044974
113.3,220,2.2957,-0.044973
113.4,220,2.2956,-0.044974
113.5,220,2.2955,-0.044976
113.6,220,2.2953,-0.044974
113.7,220,2.2952,-0.044967
113.8,220,2.295,-0.044968
113.9,220,2.2949,-0.044975
114,220,2.2948,-0.044992
114.1,220,2.2946,-0.044993
114.2,220,2.2945,-0.044993
114.3,220,2.2944,-0.044984
114.4,220,2.2942,-0.044984
114.5,220,2.2941,-0.044972
114.6,220,2.294,-0.044982
114.7,220,2.2938,-0.044965
114.8,220,2.2937,-0.044958
114.9,220,2.2936,-0.04497
115,220,2.2933,-0.045119
115.1,220,2.2932,-0.04512
115.2,220,2.293,-0.045121
115.3,220,2.2929,-0.045116
115.4,220,2.2928,-0.045117
115.5,220,2.2926,-0.045119
115.6,220,2.2925,-0.045126
115.7,220,2.2923,-0.04513
115.8,220,2.2922,-0.045131
115.9,220,2.2921,-0.045133
116,220,2.2919,-0.045133
116.1,220,2.2918,-0.045134
116.2,220,2.2917,-0.045135
116.3,220,2.2915,-0.045137
116.4,220,2.2914,-0.045138
116.5,220,2.2913,-0.045138
116.6,220,2.2911,-0.045139
116.7,220,2.291,-0.04514
116.8,220,2.2908,-0.045179
116.9,220,2.2907,-0.045177
117,220,2.2906,-0.045182
117.1,220,2.2904,-0.045183
117.2,220,2.2903,-0.045183
117.3,220,2.2904,-0.04512
117.4,220,2.2903,-0.045117
117.5,220,2.29,-0.045085
117.6,220,2.2899,-0.045089
117.7,220,2.2897,-0.045086
117.8,220,2.2896,-0.045089
117.9,220,2.2895,-0.045092
118,220,2.2893,-0.045097
118.1,220,2.2892,-0.045098
118.2,220,2.2891,-0.0451
118.3,220,2.2889,-0.045102
118.4,220,2.2888,-0.045103
118.5,220,2.2887,-0.045103
118.6,220,2.2885,-0.045099
118.7,220,2.2884,-0.045099
118.8,220,2.2883,-0.0451
118.9,220,2.2882,-0.045098
119,220,2.288,-0.045099
119.1,220,2.2879,-0.045051
119.2,220,2.2878,-0.045051
119.3,220,2.2877,-0.045053
119.4,220,2.2875,-0.045052
119.5,220,2.2874,-0.045054
119.6,220,2.2873,-0.045045
119.7,220,2.2871,-0.045098
119.8,220,2.287,-0.045102
119.9,220,2.2869,-0.04509
120,220,2.2868,-0.045088
120.1,220,2.2866,-0.045107
120.2,220,2.2865,-0.045108
120.3,220,2.2864,-0.045105
120.4,220,2.2862,-0.045047
120.5,220,2.2861,-0.04505
120.6,220,2.286,-0.04505
120.7,220,2.2859,-0.045054
120.8,220,2.2858,-0.045051
120.9,220,2.2856,-0.045051
121,220,2.2854,-0.045103
121.1,220,2.2853,-0.045118
121.2,220,2.2852,-0.045117
121.3,220,2.2851,-0.045106
121.4,220,2.2849,-0.045107
121.5,220,2.2848,-0.045101
121.6,220,2.2847,-0.045101
121.7,220,2.2846,-0.045058
121.8,220,2.2845,-0.045056
121.9,220,2.2843,-0.045131
122,220,2.2842,-0.045146
122.1,220,2.284,-0.045144
122.2,220,2.2839,-0.045143
122.3,220,2.2838,-0.045144
122.4,220,2.2837,-0.045145
122.5,220,2.2836,-0.045134
122.6,220,2.2834,-0.045121
